model,year,col_or_serie,color,used,brand
'90 Acura NSX,2024,175/250,Yellow,true,Acura
2017 Acura NSX,2024,HW Motor Show 5-Pack,White,false,Acura
Alfa Romeo GTV6 3.0,2024,98/250,Metalflake Blu Atollo,false,Alfa Romeo
Aston Martin DB4GT High/Speed Edition,2024,219/250,ZAMAC,false,Aston Martin
Aston Martin DBS,2016,106/250,Red,false,Aston Martin
Aston Martin Vanquish,2025,HW Pop Culture,Tungsten Silver,false,Aston Martin
Aston Martin Vantage GTE,2024,HW Motor Show 5-Pack,Yellow,false,Aston Martin
Aston Martin Vulcan,2019,239/250,Apple Tree Green Metallic,true,Aston Martin
'87 Audi Quattro,2024,102/250,Black,false,Audi
2018 Audi R8 Spyder,2020,175/250,Dynamite Red,false,Audi
2018 Bentley Continental GT3,2025,162/250,Metalflake Black,false,Bentley
'92 BMW M3,2024,195/250,Metalflake Creamy Yellow,false,BMW
BMW i8 Roadster,2023,156/250,Ionic Silver,true,BMW
BMW M3 GT2,2024,Neon Speeders,Neon Orange,false,BMW
Bugatti Bolide,2024,185/250,Red,,Bugatti
Bugatti Chiron Pur Sport,,Tomica,Blue,false,Bugatti
Cadillac CT5-V,2024,Matchbox,Metalflake Blue,false,Cadillac
Cadillac Project GTP Hypercar,2024,123/250,Satin Black,false,Cadillac
'58 Chevy Impala,2025,111/250,Metalflake Wine,false,Chevrolet
'64 Chevy Chevelle SS,2024,157/250,Red,false,Chevrolet
'64 Corvette Sting Ray,2014,223/250,Red,false,Chevrolet
'67 Chevelle SS 396,2021,183/250,Metalflake Blue,false,Chevrolet
'68 COPO Camaro,2019,181/250,Black,true,Chevrolet
'82 Corvette Stingray,2024,109/250,Dark Blue,false,Chevrolet
2016 Chevy Camaro Convertible,2024,Matchbox,false,,Chevrolet
2018 COPO Camaro SS,2024,Nightburnerz 5-Pack, Blue,false,Chevrolet
Chevy Silverado EV RST,2024,110/250,Black,false,Chevrolet
Corvette C6 Convertible,2024,40/250,Yellow,false,Chevrolet
Corvette C7 Z06,2024,Neon Speeders,Matte Neon Green,false,Chevrolet
Corvette C8.Rm 2024,HW Motor Show 5-Pack,Blue,false,,Chevrolet
Custom '53 Chevy,2025,12/250,Seafoam,false,Chevrolet
Datsun 240Z,2025,62/250,Pearl Light Blue,false,Datsun
De Tomaso Pantera Gruppo 4,2024,HW Boulevard #110,Yellow,false,De Tomaso
'66 Dodge Charger,2024,Matchbox,Green,false,Dodge
'68 Dodge Dart,2024,142/250,Red,true,Dodge
'69 Dodge Charger Daytona,2024,Mopar 5 Pack,Metalflake Red,false,Dodge
'70 Dodge Hemi Challenger,2024,Mopar 5 Pack,Gray,false,Dodge
'71 Dodge Challenger,2025,131/250,Orange,false,Dodge
'92 Dodge Viper RT/10,2024,218/250,Yellow,false,Dodge
2008 Dodge Challenger SRT8,2024,Mopar 5 Pack,White,false,Dodge
2018 Dodge Charger,2024,Matchbox,Matte White,false,Dodge
Dodge '70 Charger R/T,2024,108/250,Metalflake Pink,false,Dodge
Dodge Viper GTS-R,2024,Mopar 5-Pack,Blue,false,Dodge
Dodge Viper SRT10 ACR,2024,241/250,Silver,false,Dodge
Ferrari Daytona SP3,,Tomica,Red,false,Ferrari
Ferrari F50 Spider,1996,1996 First Editions,Red,false,Ferrari
Ferrari LaFerrari,,Tomica,red,false,Ferrari
'67 Ford GT40 Mk.IV,2022,58/250,White,true,Ford
'67 Ford Mustang Coupe,2025,121/250,White,false,Ford
'67 Ford Mustang Shelby GT500,2024,Nightburnerz 5 Pack,Red,true,Ford
'69 Ford Mustang Boss 302,2023,244/250,Falken Racing Blue,false,Ford
'69 Ford Torino Talladega,2016,183/250,Metallic Dark Blue,false,Ford
'70 Mustang Mach 1,2011?,180/196,Yellow,false,Ford
'80 Ford El Camino,2025,42/250,Metalflake Red,false,Ford
'84 Mustang SVO,2024,192/250,Red,true,Ford
'92 Ford Mustang,2024,194/250,Red,false,Ford
2017 Ford GT,2024,240/250,White,false,Ford
2019 Ford Mustang Coupe,2024,Matchbox,Black,false,Ford
2020 Ford Mustang Shelby GT500,2024,Stars & Stripes,Oxford White,false,Ford
2020 Ford Mustang Shelby GT500,2025,73/250,Code Orange,false,Ford
2024 Ford Mustang,2025,Matchbox,Red,false,Ford
Ford GT LM,2024,Neon Speeders,Neon Yellow,false,Ford
Ford Mustang Dark Horse,2024,250/250,Matte Atlas Blue,false,Ford
Ford Mustang GTD,2025,34/250,Polymimetic Gray,false,Ford
Ford Mustang Mach-E 1400,2022,73/250,White,true,Ford
Ford Thunderbird Stocker,1997,'97 Pro Racing 1st Edition,Black,false,Ford
Formula 1 Oracle Red Bull Racing,2025,59/250,Night Sky,false,Formula
Formula E Gen3,2024,193/250,Black,true,Formula
Gordon Murray Automotive T.33,2025,90/250,Metalflake Silver,false,Gordon Murray
Gordon Murray Automotive T.50s,2024,235/25,Metalflake Orange,false,Gordon Murray
2018 Honda Civic Type R,2025,123/250,Red,false,Honda
2024 Honda Civic Type-R,2024,HW Boulevard #105,Spoon Sports Yellow,false,Honda
Honda S800 Racing,2024,209/250,Yellow,true,Honda
1977 Jaguar XJ6C,Matchbox,false,,,Jaguar
2015 Jaguar F-Type Project 7,2024,116/250,Magenta,false,Jaguar
2020 Jaguar F-Type,2024,H2 Motor Show 5-Pack,Firenze Red,false,Jaguar
2020 Koenigsegg Jesko,2024,184/250,Iris Purple,false,Koenigsegg
2020 Koenigsegg Jesko,2024,184/250,Tang Orange,false,Koenigsegg
2021 Koenigsegg Gemera,2024,Matchbox,Metalflake Pale Blue?,true,Koenigsegg
'71 Lamborghini Miura SV,2022,202/250,Arancio Miura,false,Lamborghini
2016 Lamborghini Centenario Roadster,2024,Multipack,Light Blue,false,Lamborghini
Lamborghini Countach LPI 800-4,2024,HW Boulevard #100,Blu Uranus,false,Lamborghini
Lamborghini Huracan LP 620-2 Super Trofeo,2024,239/250,Red,false,Lamborghini
Lamborghini Huracan Sterrato,2025,42/250,Bianco Asopo,false,Lamborghini
2021 Lexus LC 500,2025,Matchbox,Red,false,Lexus
'67 Lotus Type 49,2024,188/250,British Racing Green,false,Lotus
Lotus Spirit S1,2024,Multipack,Metalflake Silver,false,Lotus
Maserati Shamal,2025,58/250,Rosso Maserati,false,Maserati
'89 Mazda Savanna RX-7 FC3S,2020,223/250,Red,true,Mazda
'91 Mazda MX-5 Miata,2024,120/250,Yellow,false,Mazda
'95 Mazda RX-7,2024,170/250,Dark Blue,false,Mazda
'95 Mazda RX-7,2024,170/250,White,false,Mazda
'95 Mazda RX-7 Drift,2025,163/250,Yellow,false,Mazda
1992 Mazda Autozam AZ-1,2025,79/125 Matchbox,Yellow,false,Mazda
2015 Mazda MX-5 Miata,2025,80/250,Metalflake Red,true,Mazda
Mazda 787B,2024,145/250,Orange,false,Mazda
Mazda MX-5 Miata,2025,1/250,Metalflake Gunmetal Gray,false,Mazda
McLaren 720S,2019,221/250,Metalflake Lantana Purple,false,McLaren
McLaren F1,2024,243/250,Grand Prix Red,false,McLaren
McLaren F1 GTR,2024,Neon Speeders,Matte Black,false,McLaren
McLaren Senna,2024,HW Motor Show 5-Pack,Abyss Black,false,McLaren
McLaren Solus GT,2024,70/250,Orange,false,McLaren
'63 Mercedes-Benz 230 SL,2024,N86 Matchbox,White,false,Mercedes
'89 Mercedes-Benz 560 SEC AMG,2024,92/250,Red,false,Mercedes
2016 Mercedes-AMG GT3,2024,Neon Speeders,Metalflake Black,true,Mercedes
Mercedes-Benz 500E,2025,52/250,Metalflake Dark Green,false,Mercedes
'68 Mercury Cougar,2015,181/250,Dark Blue,true,Mercury
'69 Mercury Cougar Eliminator,2024,171/250,Metalflake Olive Green,true,Mercury
'69 Mercury Cyclone,2025,165/250,Metalflake Red,false,Mercury
Mitsubishi 3000GT VR-4,2024,HW Boulevard #98,Peacock Green,false,Mitsubishi
2023 Nissan Z GT4,2024,Car Culture: Race Day,White,false,Nissan
LB Super Silhouette Nissan Silvia (S15),2022,110/250,Yellow,false,Nissan
Nissan 300ZX TT,2024,Nightburnerz 5-Pack,Orange,true,Nissan
Nissan Fairlady Z,2018,154/365,Pearl White,false,Nissan
Nissan GT-R Nismo,,Tomica,Grey,false,Nissan
Nissan Skyline 2000GT-R LBWK,2024,191/250,Light Gray,false,Nissan
Nissan Skyline GT-R (BCNR33),2025,144/250,Black,false,Nissan
Nissan Skyline GT-R (BNR32),2025,4/250,Metalflake Black,false,Nissan
Pagani Huayra,2012?,,Metalflake Orange,true,Pagani
Pagani Zonda R,2024,99/250,Giallo Ginevra,false,Pagani
Automobili Pininfarina Battista,2023,108/250,Nero,false,Pininfarina
'70 Plymouth AAR Cuda,2018,HW Horsepower 5-Pack,Green,false,Plymouth
'70 Plymouth Roadrunner,2002,202,Yellow and Flat Black Roof,false,Plymouth
'70 Plymouth Superbird,2025,87/250,Yellow,false,Plymouth
'71 Plymouth GTX,2001,26,Lime Green,false,Plymouth
'77 Pontiac Firebird T/A,2024,206/250,Matte Black,false,Pontiac
'71 Porsche 911,2024,Multipack,Black,false,Porsche
'96 Porsche Carrera,2024,174/250,Blue,false,Porsche
'96 Porsche Carrera,2024,174/250,Yellow,false,Porsche
1985 Porsche 911 Rally,2025,120/125 Matchbox,Turquoise,false,Porsche
2007 Porsche 911 GT3 (997),2024,Matchbox,Matte White,false,Porsche
Porsche 904 Carrera GTS,2024,158/25,Red,false,Porsche
Porsche 904 Carrera GTS,2025,100/250,Creamy Yellow,false,Porsche
Porsche 911 Carrera Cabriolet,2024,Matchbox,Red,false,Porsche
Porsche 911 GT2,2024,Multipack,Yellow,false,Porsche
Porsche 911 GT3,2025,74/250,Jet Black,false,Porsche
Porsche 911 Targa 4,2024,Matchbox,Metalflake Blue,true,Porsche
Porsche 917 LH,2024,Retro Racers 5-Pack,Orange,false,Porsche
Porsche 918 Spyder,2023,Matchbox,Lime Green,false,Porsche
Porsche 918 Spyder,2019,94/250,Black,false,Porsche
Porsche 935,2023,223/250,Navy Blue,true,Porsche
Porsche 964,2024,HW Boulevard #103,Aqua,false,Porsche
Porsche Carrera GT,2008,115/196,Basalt Black,false,Porsche
Proton Saga,2025,38/250,Matte White,false,Proton
Renault Sport Megane Trophy,2024,Nightburnerz 5-Pack,Yellow,false,Renault
Shelby Cobra 427 S/C (Classic Cobra),2024,181/250,ZAMAC,false,Shelby
Shelby Cobra Daytona Coupe,2024,122/250,Metalflake Dark Blue,false,Shelby
'98 Subaru Impreza 22B ST-Version,2024,244/250,Matte White,false,Subaru
Subaru BRZ,2025,48/250,Bluebonnet,true,Subaru
Tesla Cybertruck,2024,246/250,Zinc/Plated ZAMAC,false,Tesla
Tesla Model S Plaid,2025,9/250,Ultra Red,false,Tesla
'70 Toyota Celica,2021,151/250,Metalflake Teal,false,Toyota
2021 Toyota GR Supra,2024,HW Boulevard #96,Metalflake Dark Gray,false,Toyota
Toyota GR86 Cup,2025,79/250,Orange,false,Toyota
Volkswagen SP2,2019,119/250,Metallic Pale Yellow,false,Volkswagen